id,name_ja,hiragana,name_de,type1,type2,image,encountered_date
001,フシギダネ,ふしぎだね,Bisasam,くさ,どく,bisasam.png,
002,フシギソウ,ふしぎそう,Bisaknosp,くさ,どく,bisaknosp.png,
004,ヒトカゲ,ひとかげ,Glumanda,ほのお,,glumanda.png,
007,ゼニガメ,ぜにがめ,Schiggy,みず,,schiggy.png,
016,ポッポ,ぽっぽ,Taubsi,ノーマル,ひこう,taubsi.png,
017,ピジョン,ぴじょん,Tauboga,ノーマル,ひこう,tauboga.png,
043,ナゾノクサ,なぞのくさ,Myrapla,くさ,どく,myrapla.png,
048,コンパン,こんぱん,Bluzuk,むし,どく,bluzuk.png,
069,マダツボミ,まだつぼみ,Knofensa,くさ,どく,knofensa.png,
079,ヤドン,やどん,Flegmon,みず,エスパー,flegmon.png,
095,イワーク,いわーく,Onix,いわ,じめん,onix.png,
107,エビワラー,えびわらー,Nockchan,かくとう,,nockchan.png,
465,モジャンボ,もじゃんぼ,Tangoloss,くさ,,tangoloss.png,
123,ストライク,すとらいく,Sichlor,むし,ひこう,sichlor.png,
212,ハッサム,はっさむ,Scherox,むし,はがね,scherox.png,
127,カイロス,かいろす,Pinsir,むし,,pinsir.png,
129,コイキング,こいきんぐ,Karpador,みず,,karpador.png,
132,メタモン,めたもん,Ditto,ノーマル,,ditto.png,
163,ホーホー,ほーほー,Hoothoot,ノーマル,ひこう,hoothoot.png,
214,ヘラクロス,へらくろす,Skaraborn,むし,かくとう,skaraborn.png,
316,ゴクリン,ごくりん,Schluppuck,どく,,schluppuck.png,
415,ミツハニー,みつはにー,Wadribie,むし,ひこう,wadribie.png,
416,ビークイン,びーくいん,Honweisel,むし,ひこう,honweisel.png,
422,カラナクシ,からなくし,Schalellos,みず,,schalellos.png,
425,フワンテ,ふわんて,Driftlon,ゴースト,ひこう,driftlon.png,
529,モグリュー,もぐりゅー,Rotomurf,じめん,,rotomurf.png,
532,ドッコラー,どっこらー,Praktibalk,かくとう,,praktibalk.png,
533,ドテッコツ,どてっこつ,Strepoli,かくとう,,strepoli.png,
704,ヌメラ,ぬめら,Viscora,ドラゴン,,viscora.png,
052,ニャース,にゃーす,Mauzi,ノーマル,,mauzi.png,
066,ワンリキー,わんりきー,Machollo,かくとう,,machollo.png,
067,ゴーリキー,ごーりきー,Maschock,かくとう,,maschock.png,
074,イシツブテ,いしつぶて,Kleinstein,いわ,じめん,kleinstein.png,
240,ブビィ,ぶびぃ,Magby,ほのお,,magby.png,
813,ヒバニー,ひばにー,Hopplo,ほのお,,hopplo.png,
133,イーブイ,いーぶい,Evoli,ノーマル,,evoli.png,
382,カイオーガ,かいおーが,Kyogre,みず,,kyogre.png,
